zip,arrest_count
10457,814
11212,732
10035,680
10454,639
11434,607
10467,558
11208,527
10451,518
11226,492
10452,471
10029,448
11216,445
10468,427
10456,427
10002,423
10466,423
10027,416
11207,403
11691,400
11373,392
10453,391
11224,390
10473,380
11432,374
11213,369
10455,368
11221,365
11220,358
10019,358
10460,356
11385,355
10458,344
10003,341
10459,341
10014,336
11368,329
11369,324
10461,304
11233,301
10011,300
10463,300
10012,296
11206,296
10032,293
10025,288
11103,287
10302,283
11418,275
10030,272
11201,268
10013,267
11354,267
11203,267
10314,265
10472,261
11417,257
10033,255
11237,252
11232,250
10474,250
11101,250
10031,242
11223,239
11428,233
10001,233
11236,233
10465,215
11210,215
10036,211
10018,209
10009,209
11225,207
11205,203
11230,201
10306,200
10010,198
11433,198
11211,196
10469,192
11435,190
11234,189
11214,180
11235,180
10040,176
11375,174
11238,174
11412,171
10037,163
10026,161
10462,161
10034,155
11372,155
11217,152
11377,151
11231,145
11219,141
11420,139
10301,135
11209,131
11365,130
11229,128
11693,125
11692,125
10024,125
10039,123
10065,123
10303,119
11222,118
10016,117
10022,117
11419,115
10470,114
10304,112
11355,109
10005,108
10305,103
10307,95
11215,91
11218,83
11102,80
11413,79
11421,76
11415,71
10312,70
11423,70
10128,70
10007,70
11228,69
10023,68
11204,68
11416,67
11378,66
11436,65
10310,65
11422,63
11106,63
10475,62
11227,57
10021,56
10028,55
10017,55
11379,53
11411,52
10020,51
11249,51
11361,50
11427,49
11374,47
11105,47
10038,47
11414,46
10309,46
11370,46
11429,45
11356,43
11239,43
10308,40
11694,40
11357,36
11367,35
11104,35
11358,35
10075,27
10122,27
11364,21
10119,19
10471,18
10115,17
10006,17
11366,15
12692,14
11360,13
11426,12
11001,12
11362,12
10000,9
10464,9
10282,8
10111,8
10107,7
10004,6
10280,6
11004,6
11040,4
10158,4
11363,4
11251,4
10278,4
10069,4
10105,3
10129,3
10281,3
11371,3
10162,2
11425,2
10271,2
11430,2
11109,2
11580,2
10275,2
10044,1
10152,1
10153,1
11096,1
11451,1
10120,1
10178,1
11439,1
