MODZCTA,PERC_PARTIALLY,PERC_FULLY,PERC_1PLUS
10001,11.18,63.16,74.34
10002,10.04,56.11,66.15
10003,8.02,57.56,65.58
10004,16.89,83.21,100.1
10005,13.5,61.95,75.45
10006,14.99,70.88,85.87
10007,12.83,66.7,79.53
10009,8.59,53.85,62.44
10010,7.94,56.22,64.16
10011,8.16,63.1,71.26
10012,8.66,56,64.66
10013,9.84,60.43,70.27
10014,8.94,62.42,71.35
10016,9.81,66.61,76.41
10017,10.66,68.82,79.48
10018,11.72,58.84,70.57
10019,10.69,65.63,76.31
10021,7.12,59.65,66.77
10022,9.52,67.62,77.14
10023,8.77,62.9,71.67
10024,8.32,61.02,69.34
10025,8.11,56.17,64.28
10026,7.06,37.12,44.18
10027,7.14,39.63,46.78
10028,7.98,57.64,65.62
10029,7.74,38.66,46.4
10030,6.62,31.51,38.13
10031,7.1,39.95,47.05
10032,7.18,42.21,49.38
10033,6.93,40.54,47.48
10034,7,37.97,44.97
10035,8.35,40.13,48.49
10036,12.8,72.46,85.26
10037,6.55,35.87,42.42
10038,11.22,53.44,64.66
10039,6.31,29.35,35.66
10040,7.16,41.03,48.2
10044,8.12,53.18,61.3
10065,8.28,62.96,71.24
10069,11.35,64.76,76.11
10075,9.72,69.67,79.38
10128,8.15,60.15,68.3
10280,9.55,49.91,59.47
10282,9.71,47.74,57.45
10301,6.85,40.99,47.84
10302,7.7,33.17,40.88
10303,7.37,31.09,38.46
10304,7.36,39.66,47.02
10305,7.5,42.33,49.83
10306,6.9,44.05,50.95
10307,5.18,32.84,38.02
10308,5.5,37.38,42.88
10309,5.99,35.6,41.59
10310,7.03,39.28,46.32
10312,5.84,39.9,45.74
10314,6.45,40.34,46.79
10451,7.65,35.26,42.91
10452,8.08,32.06,40.14
10453,7.59,28.7,36.28
10454,7.77,29.23,36.99
10455,7.67,29.37,37.04
10456,7.16,27,34.16
10457,7.85,27.82,35.66
10458,7.61,28.48,36.09
10459,7.75,29.35,37.11
10460,7.02,27.84,34.86
10461,8.82,46.51,55.32
10462,9.05,40.14,49.19
10463,7.39,43.89,51.27
10464,6.49,53.72,60.2
10465,6.04,38.57,44.61
10466,6,27.61,33.61
10467,7.14,31.02,38.16
10468,7.66,30.28,37.93
10469,6.07,31.97,38.04
10470,6.84,38.27,45.11
10471,7.99,55.83,63.82
10472,7.86,30.31,38.16
10473,6.74,32.68,39.42
10474,7.5,25.26,32.76
10475,5.05,41.54,46.59
11004,7,50.76,57.75
11101,11.72,62.51,74.22
11102,10.55,54.72,65.27
11103,9.93,49.38,59.31
11104,10.56,55.51,66.07
11105,7.68,45.76,53.43
11106,10.38,51.69,62.07
11109,10.2,68.18,78.38
11201,8.83,61.97,70.8
11203,6.69,30.72,37.41
11204,8.28,33.58,41.86
11205,5.94,33.35,39.29
11206,6.55,31.73,38.29
11207,7.22,26.58,33.8
11208,7.74,27.74,35.49
11209,8.22,45.69,53.91
11210,5.77,26.07,31.84
11211,6.9,39.33,46.23
11212,6.69,25.54,32.23
11213,5.7,27.39,33.09
11214,8.97,37.77,46.74
11215,7.78,55.07,62.85
11216,6.27,44.42,50.69
11217,7.43,52.5,59.93
11218,8.26,37.85,46.11
11219,7.2,24.7,31.9
11220,15.74,45.86,61.6
11221,7.67,37.33,45
11222,8.53,58.81,67.34
11223,7.22,31.67,38.89
11224,6.22,29.85,36.07
11225,5.85,38.57,44.42
11226,7.67,33.99,41.67
11228,8.65,41.79,50.44
11229,6.62,34.08,40.7
11230,6.37,27.45,33.82
11231,7.58,48.29,55.87
11232,9.98,40.31,50.28
11233,5.76,26.42,32.18
11234,6.01,30.69,36.71
11235,7.05,34.13,41.18
11236,5.84,25.88,31.72
11237,9.21,40.31,49.52
11238,7.43,58.8,66.23
11239,7.09,43.1,50.18
11354,13.11,58.88,71.99
11355,16.22,61.78,78.01
11356,11.89,48.58,60.47
11357,8.34,51.17,59.51
11358,10.22,57.17,67.38
11360,7.53,56.97,64.5
11361,10.01,56.51,66.52
11362,8.21,54.81,63.03
11363,8.02,58.17,66.19
11364,8.43,55.81,64.24
11365,9.21,49.09,58.3
11366,7.83,46.72,54.55
11367,7.65,39.77,47.42
11368,12.23,34.65,46.88
11369,11.77,44.24,56.01
11370,9.47,39.84,49.31
11372,13.4,53.61,67.01
11373,13.76,55.95,69.71
11374,8.52,48.11,56.63
11375,7.73,49.41,57.15
11377,12.12,51.05,63.17
11378,8.86,40.22,49.09
11379,7.03,42.3,49.32
11385,8.15,35.41,43.56
11411,6.21,31.05,37.26
11412,6.13,29.46,35.58
11413,5.93,27.49,33.42
11414,6.14,37.79,43.93
11415,7.13,46.97,54.09
11416,10.08,39.73,49.81
11417,9.75,42.72,52.47
11418,9.28,41.12,50.39
11419,11.32,42.56,53.89
11420,9.41,41.12,50.52
11421,9.72,40.75,50.46
11422,6.01,28.91,34.92
11423,7,43.91,50.91
11426,7.68,46.21,53.89
11427,9,59.11,68.11
11428,8.09,49.76,57.85
11429,6.66,30.35,37.01
11432,8.86,50.26,59.12
11433,6.52,33.13,39.65
11434,6.31,29.02,35.33
11435,7.62,39.99,47.61
11436,7.78,33.09,40.87
11691,6.47,22.9,29.37
11692,6.39,26.35,32.74
11693,5.69,31.34,37.03
11694,5.71,39.2,44.91
11697,7.75,67.06,74.81
