MODZCTA,PERC_PARTIALLY,PERC_FULLY,PERC_1PLUS
10001,20.02,103.03,123.04
10002,6.17,78.39,84.56
10003,5.65,70.69,76.34
10004,14.06,119.68,133.74
10005,8.14,85.8,93.95
10006,17.03,113.67,130.7
10007,8.55,88.68,97.23
10009,5.36,70.92,76.28
10010,5.19,70.53,75.72
10011,5.78,76.64,82.42
10012,5.21,71.32,76.53
10013,6.55,79.19,85.75
10014,5.64,76.09,81.73
10016,6.75,86.64,93.39
10017,13.39,95.84,109.23
10018,45.45,141.49,186.95
10019,16.61,99.1,115.7
10021,4.58,71.52,76.1
10022,8.82,86.41,95.23
10023,5.6,77.87,83.47
10024,4.57,74.05,78.61
10025,5.83,71.43,77.26
10026,6.31,55.29,61.6
10027,6.95,57.3,64.25
10028,3.87,70.34,74.22
10029,7.12,60.92,68.04
10030,7.27,51.24,58.51
10031,6.76,59.68,66.44
10032,6.74,61.67,68.4
10033,6.13,59.21,65.34
10034,6.03,58.13,64.16
10035,8.53,62.43,70.95
10036,26.24,123.1,149.33
10037,7.27,55.67,62.94
10038,8.11,75.3,83.41
10039,8.33,50.76,59.1
10040,6.34,60.23,66.56
10044,4.21,71.56,75.76
10065,6.05,77.96,84.02
10069,5.24,84.72,89.95
10075,5.37,83.73,89.1
10128,4.35,74.25,78.59
10280,4.12,65.19,69.31
10282,5.06,63.6,68.67
10301,7.34,61.7,69.04
10302,9.42,59.94,69.35
10303,7.85,55.78,63.64
10304,7.82,62.65,70.47
10305,6.4,64.39,70.79
10306,6.22,65.55,71.77
10307,5.28,49.76,55.04
10308,5.37,53.99,59.35
10309,6.47,53.97,60.43
10310,7.9,62.35,70.25
10312,5.47,57.72,63.19
10314,5.05,58.84,63.89
10451,9.5,61,70.5
10452,9.15,58.02,67.17
10453,9.3,55.04,64.33
10454,9.26,54.63,63.89
10455,8.94,54.69,63.63
10456,9.06,50.66,59.72
10457,10.13,53.14,63.27
10458,8.53,53.11,61.64
10459,9.42,54.48,63.9
10460,9.39,50.93,60.32
10461,7.01,69.79,76.79
10462,7.78,66.53,74.31
10463,6.39,63.85,70.24
10464,5.97,67.58,73.55
10465,6.28,55.99,62.26
10466,7.68,49.21,56.89
10467,8.13,54.84,62.96
10468,8.55,55.4,63.95
10469,7.36,51.71,59.07
10470,6.79,58.06,64.85
10471,4.83,71.95,76.78
10472,8.94,56.94,65.88
10473,7.65,54.58,62.23
10474,8.55,49.14,57.69
10475,5.82,58.74,64.56
11004,4.55,67.65,72.2
11101,9.84,88.98,98.83
11102,6.73,81.53,88.26
11103,5.93,74.08,80.02
11104,5.15,80.61,85.76
11105,4.58,66.28,70.86
11106,6.17,75.35,81.52
11109,4.98,84.63,89.61
11201,5.36,77.63,82.99
11203,8.36,54.27,62.63
11204,5.15,54.84,59.99
11205,4.62,47.53,52.15
11206,5.92,48.81,54.73
11207,8.89,50.27,59.16
11208,8.42,53.36,61.78
11209,5.48,66.51,71.99
11210,6.68,45.31,51.99
11211,4.37,52.21,56.59
11212,10,49.67,59.67
11213,7.15,45.68,52.83
11214,6.21,62.09,68.3
11215,3.63,67.94,71.57
11216,5.97,61.06,67.03
11217,4.68,65.92,70.61
11218,5.22,57.91,63.13
11219,4.33,42.19,46.53
11220,8.53,84.4,92.92
11221,7.78,58.72,66.5
11222,5.14,75.7,80.85
11223,5.68,51.44,57.12
11224,6.83,47.93,54.76
11225,5.87,56.65,62.53
11226,8.53,57.28,65.81
11228,4.9,64.29,69.19
11229,5.37,52.87,58.23
11230,6,45.46,51.45
11231,4.67,62.53,67.19
11232,7.26,66.98,74.24
11233,7.41,44.49,51.9
11234,6.13,49.93,56.06
11235,7.17,57.28,64.45
11236,8,47.4,55.4
11237,8.9,66.42,75.32
11238,5.04,73.8,78.83
11239,10.66,68.96,79.62
11354,6.01,88.04,94.05
11355,6.06,98.51,104.58
11356,8.11,82.51,90.62
11357,4.91,72.89,77.8
11358,5.04,83.15,88.18
11360,4.08,74.49,78.56
11361,4.55,80.48,85.04
11362,4.3,73.92,78.21
11363,4.68,76.24,80.92
11364,3.91,76.55,80.46
11365,5.32,73.19,78.51
11366,5.55,67.65,73.2
11367,5.29,60.81,66.1
11368,11.3,74.38,85.69
11369,9.81,79.98,89.79
11370,6.14,66.24,72.38
11372,8.47,88.55,97.02
11373,7.49,91.86,99.35
11374,5.54,71.79,77.32
11375,4.16,67.14,71.3
11377,6.44,80.17,86.61
11378,6.09,64.9,70.99
11379,4.92,62.79,67.7
11385,6.97,58.65,65.62
11411,7.24,51.9,59.14
11412,8.23,51.36,59.59
11413,7.39,49.35,56.73
11414,4.95,55.67,60.62
11415,5.07,67.26,72.33
11416,6.9,69.28,76.19
11417,6.12,69.38,75.5
11418,6.86,67.4,74.25
11419,6.89,71.55,78.44
11420,6.27,67.22,73.5
11421,7.07,69.98,77.05
11422,7.55,51.1,58.65
11423,6.41,66.36,72.77
11426,5.06,66.76,71.82
11427,5.87,81.85,87.72
11428,6.79,74.4,81.2
11429,6.8,51.31,58.11
11432,6.89,76.72,83.61
11433,7.57,56.91,64.48
11434,8.06,50.86,58.92
11435,6.61,64.17,70.78
11436,7.59,58.44,66.03
11691,7.09,41.84,48.93
11692,7.53,46.16,53.69
11693,6.36,48.84,55.2
11694,5.25,55.3,60.55
11697,6.4,87.19,93.59
