Total,Concerned about possible side effects,Don’t know if a vaccine will work,Don’t believe I need a vaccine,Don’t like vaccines,Doctor has not recommended it,Plan to wait and see if it is safe,Concerned about the cost,Don’t trust COVID-19 vaccines,Don’t trust the government,Don’t think COVID-19 is a big threat,Hard for me to get a vaccine,Believe one dose is enough protection,Experienced side effects from first dose,Other people need it more right now,Other,Did not report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"118,895","66,140","29,579","13,154","4,022","7,972","72,242","4,337","28,331","28,040",0,0,0,0,"19,226","6,505","2,140",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"102,805","57,123","28,144","10,279","5,843","10,915","60,642","7,050","22,908","21,366",0,0,0,0,"16,876",921,943,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"111,630","63,848","38,193","3,559","5,684","22,218","61,939","1,014","33,300","21,145",0,0,0,0,"15,825","14,025",198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"89,366","53,250","9,916","2,171","6,994","4,239","48,401","7,550","17,111","19,711",0,0,0,0,"15,991","4,397","1,599",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"75,717","30,211","14,432","8,503","2,338","6,604","21,855","1,328","14,892","10,586",0,0,0,0,"8,671","15,690",537,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"60,775","42,594","9,147","11,573","11,937","3,709","22,526","1,726","21,623","18,259",0,0,0,0,"5,214","7,881",217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"55,897","29,539","8,334","3,138","2,258",0,"35,312",0,"13,211","4,217",0,0,0,0,"2,336","2,656",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"52,027","24,368","11,167","3,246",757,"5,937","31,893",0,"19,543","9,699",0,0,0,0,"8,001","6,553",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"42,714","19,965","11,079","6,135","5,222","2,114","18,789","3,383","17,706","7,844",0,0,0,0,"2,655","5,683",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"55,587","22,530","12,268","5,363","7,710","5,175","21,620",0,"22,536","12,159",0,0,0,0,"7,577","4,815","1,400",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"52,225","34,685","5,693","1,989","4,293",0,"24,736","1,452","8,266","5,654",0,0,0,0,"3,663","4,754",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"32,063","15,909","5,370","3,713","1,145",428,"10,116",0,"5,878","6,258",0,0,0,0,382,"9,171",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"29,667","15,611","5,200",232,0,707,"5,568",0,"3,935","8,982",0,0,0,0,0,546,"2,010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"23,283","19,230","7,156","2,473",0,0,"15,436",0,"7,759","3,951",973,0,0,0,0,"1,139",690,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"24,126","11,316","5,580","2,782",0,"2,798","10,635","6,667","7,045","6,603","2,782",0,0,0,0,"1,560",390,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"22,804","13,563","3,148","9,347",0,"1,064","6,344",0,"12,456","6,629","6,806",0,92,0,0,401,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"31,160","14,265","8,903","2,546",0,"7,717","7,024","3,663","5,874","6,814",0,"2,177",0,0,0,"3,310",122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"21,284","8,686","8,861",740,0,"3,837","6,557",0,"9,269","1,959",0,0,"2,890","2,890",0,"5,116",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"13,045","5,537","4,385",482,0,0,"7,508",0,482,"1,634",0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"21,368","9,576","9,008","4,783",0,651,326,0,"5,666","11,074",0,"2,391",0,0,0,"1,521","2,704",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"15,485","12,702","12,999",493,0,0,"4,641",0,"4,472","8,918",0,0,0,0,0,942,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"7,842","2,329","3,352","3,287",0,"1,022","2,700",0,"2,650","1,531","1,022",0,0,825,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"11,988","3,089","1,115","2,574",0,"1,043","2,148",0,"5,273","4,118","1,531",0,0,"1,115",0,"3,623",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"20,716","13,122","9,484","4,550",0,"1,071","5,174",0,"12,194","6,087",0,0,0,0,0,928,901,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
